Algorithm,Heuristic/Depth Limit,Depth,Nodes Generated,Effective Branching Factor
IDS,N/A,23,7810,1.4765416335339516
A*,Manhattan,27,2348,1.3330322920021633
A*,Misplaced Titles,27,72754,1.5138009490537154
IDS,N/A,33,15726,1.3402019658787934
A*,Manhattan,23,1850,1.3869185111639952
A*,Misplaced Titles,23,18729,1.5337744676248612
IDS,N/A,25,19034,1.483136771754299
A*,Manhattan,25,2573,1.3690445838331662
A*,Misplaced Titles,25,34816,1.5193966164847879
IDS,N/A,29,31537,1.4293274593162477
A*,Manhattan,21,828,1.3770630509757726
A*,Misplaced Titles,21,8083,1.534881617172079
IDS,N/A,23,13274,1.510987767389136
A*,Manhattan,19,501,1.3870647098602056
A*,Misplaced Titles,17,1278,1.5231304799612
IDS,N/A,23,16367,1.5248111079695614
